Date,Timestamp,Scr_IP,Scr_port,Des_IP,Des_port,Protocol,Service,Duration,Scr_bytes,Des_bytes,Conn_state,missed_bytes,is_syn_only,Is_SYN_ACK,is_pure_ack,is_with_payload,FIN or RST,Bad_checksum,is_SYN_with_RST,Scr_pkts,Scr_ip_bytes,Des_pkts,Des_ip_bytes,anomaly_alert,total_bytes,total_packet,paket_rate,byte_rate,Scr_packts_ratio,Des_pkts_ratio,Scr_bytes_ratio,Des_bytes_ratio,Avg_user_time,Std_user_time,Avg_nice_time,Std_nice_time,Avg_system_time,Std_system_time,Avg_iowait_time,Std_iowait_time,Avg_ideal_time,Std_ideal_time,Avg_tps,Std_tps,Avg_rtps,Std_rtps,Avg_wtps,Std_wtps,Avg_ldavg_1,Std_ldavg_1,Avg_kbmemused,Std_kbmemused,Avg_num_Proc/s,Std_num_proc/s,Avg_num_cswch/s,std_num_cswch/s,OSSEC_alert,OSSEC_alert_level,Login_attempt,Succesful_login,File_activity,Process_activity,read_write_physical.process,is_privileged,class1,class2,class3
16-12-2019,1576459868,192.168.10.155,42782,192.168.2.10,80,tcp,http,0.002699,608,313,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,6,928,4,529,FALSE,2378,10,3705.075954,881067.0619,0.6,0.4,0.645920942,0.354079058,5.636,6.590617877,3.601,2.078775842,2.735,1.220510139,0.404,0.441411373,87.625,8.716157697,19,11,3.5,6.69701426,15.5,9.340770846,0.763,0.314548883,913675.2,949.2916096,0.7,0.640312424,1393.9,249.7488539,0,0,0,0,0,0,1,0,Normal,Normal,Normal
16-12-2019,1576451597,10.0.1.5,38469,129.94.0.197,53,udp,dns,0.000005,108,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,164,0,0,TRUE,272,2,400000,54400000,1,0,1,0,2.375,2.784112965,1.905,0.900658093,1.447,0.703463574,0.178,0.300159957,94.096,3.512361599,18,18.55262785,14.2,18.77658116,3.8,2.088061302,0.325,0.018027756,921332,1360.624562,0.4,0.489897949,1309.1,277.6333734,0,0,0,0,0,0,0,0,Normal,Normal,Normal
08-01-2020,1578458117,172.24.1.33,60866,172.24.1.1,53,udp,dns,0.000191,41,41,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,69,1,69,FALSE,220,2,10471.20419,1151832.461,0.5,0.5,0.5,0.5,5.767,6.168456938,2.4,1.223985294,2.122,1.389912227,0.353,0.280037497,89.358,8.467418497,11.8,6.808817812,0.2,0.6,11.6,6.85857128,0.397,0.023685439,916407.6,2822.71611,0.8,0.4,1735.4,298.4487226,0,0,0,0,0,0,0,0,Discovering_resources,Reconnaissance,Attack
09-01-2020,1578543244,172.24.1.80,40196,172.24.1.1,53,udp,dns,0.00017,-,-,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-,-,-,-,FALSE,-,-,-,-,-,-,-,-,3.098,2.24907003,1.597,1.219779078,2.101,0.446126664,0.227,0.212746328,92.977,2.379008407,12.9,3.961060464,1.3,2.147091055,11.6,4.223742416,0.438,0.025612497,912519.2,525.2894059,5.4,8.052328856,1364.6,216.2430114,0,0,0,0,0,0,0,0,Normal,Normal,Normal
09-01-2020,1578542974,192.168.2.199,54605,192.168.2.10,80,tcp,http,0.032957,313,347,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,6,633,4,563,FALSE,1856,10,303.4256759,56315.80544,0.6,0.4,0.509698276,0.490301724,12.344,6.447115944,5.898,2.771702726,5.655,1.640416106,0.231,0.137655367,75.875,9.203114962,11.3,6.067124525,0.1,0.3,11.2,6.095900262,0.31,0.017320508,913525.6,1957.229225,21.1,7.687002016,2305.7,286.0594519,1,5,0,0,0,0,0,0,Scanning_vulnerability,Reconnaissance,Attack
11-02-2020,1581386893,192.168.2.10,38166,192.168.10.150,80,tcp,http,0.000497,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,60,1,40,FALSE,100,2,4024.144869,201207.2435,0.5,0.5,0.6,0.4,7.699,7.496230319,1.337,1.189319553,1.972,1.387932275,0.229,0.384537384,88.762,8.50355314,26.4,29.45572949,20.6,27.8718496,5.8,6.808817812,1.165,0.005,917937.2,1180.996257,0.2,0.6,1256.5,236.4936574,0,0,0,0,0,0,0,0,MQTT_cloud_broker_subscription,Lateral _movement,Attack
09-01-2020,1578540712,192.168.2.199,44018,192.168.2.10,3744,tcp,other,0.000021,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,60,1,40,FALSE,100,2,95238.09524,4761904.762,0.5,0.5,0.6,0.4,6.478,4.432639846,1.472,1.084553364,2.15,1.712080606,16.823,25.81548607,73.077,24.92188197,25.57,22.54293903,7.688,15.55982314,17.882,12.56540155,1.247,0.070434367,913179.2,2368.466035,1.3,0.781024968,1227.4,168.6862176,0,0,0,0,0,0,0,0,Scanning_vulnerability,Reconnaissance,Attack
16-12-2019,1576633495,10.0.1.5,37469,131.236.3.92,53,udp,dns,0.000004,112,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,168,0,0,FALSE,280,2,500000,70000000,1,0,1,0,8.681,8.459799584,3.784,2.921555065,2.716,1.040098072,0.558,0.55662914,84.266,11.68563665,15.9,14.26499211,6.7,14.14248917,9.2,1.6,0.347,0.041243181,909935.6,4248.27436,2.599,3.720646315,1283.145,209.8389364,0,0,0,0,0,0,0,0,Normal,Normal,Normal
24-02-2020,1582503938,172.24.1.244,57520,172.24.1.1,5683,udp,coap,0.906946,562,72,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,590,1,100,FALSE,1324,2,2.205202956,1459.844357,0.5,0.5,0.870090634,0.129909366,30.459,14.12975899,2.275,1.519014483,10.929,4.371154195,0.077,0.117647779,56.262,18.45793206,8.2,6.079473661,4.5,6.103277808,3.7,1.55241747,2.372,0.104670913,920409.2,3586.937212,0,0,10036.4,3518.599017,0,0,0,0,0,0,1,0,RDOS,RDOS,Attack
15-01-2020,1579041179,192.168.2.199,39950,192.168.2.10,80,tcp,http,0.207049,159,310,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,6,479,5,578,FALSE,1526,11,53.12752054,7370.236031,0.545454545,0.454545455,0.418086501,0.581913499,6.467,5.323506457,6.019,1.478495519,5.009,1.626956975,0.336,0.370491565,82.167,6.890991293,18.4,18.15599075,14.8,18.6,3.6,1.2,0.994,0.074859869,918524.8,3260.176584,0.8,0.4,2578.4,198.8221316,0,0,0,0,0,0,0,0,BruteForce,Weaponization,Attack
27-02-2020,1582763166,10.0.1.5,52792,129.94.0.197,53,udp,dns,0.000009,-,-,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,6.031,2.983623468,1.117,0.730260912,2.838,0.67075778,4.86,8.785336647,85.154,8.681323862,22.8,18.84568916,13.9,18.64644738,8.9,9.417536833,0.992,0.024,914746,1867.541914,7.5,6.66708332,1405.4,311.522455,0,0,0,0,0,0,0,0,Normal,Normal,Normal
10-02-2020,1580971558,192.168.2.10,46674,192.168.10.150,1883,tcp,mqtt,5.730445,53,4734,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,16,893,14,5470,FALSE,11150,30,5.235195521,1945.747669,0.533333333,0.466666667,0.084843049,0.915156951,9.561,9.457263293,1.772,1.882215716,2.022,1.017662026,10.972,13.41365185,75.672,12.87406525,8.7,3.579106034,0,0,8.7,3.579106034,0.654,0.034117444,902216,5891.649141,0.5,0.806225775,976.6,159.8125152,0,0,0,0,0,0,1,0,MQTT_cloud_broker_subscription,Lateral _movement,Attack
24-02-2020,1582503911,172.24.1.244,59539,172.24.1.1,5683,udp,coap,-,-,-,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,590,0,0,FALSE,-,1,-,-,1,0,-,-,28.857,5.222340567,2.277,1.656098125,13.759,2.27673648,2.203,5.235412209,52.899,8.236531369,12.8,10.0079968,5.6,6.829348432,7.2,7.652450588,2.446,0.06406247,910935.2,4866.535129,0,0,16045,1119.632172,0,0,0,0,0,0,0,0,RDOS,RDOS,Attack
11-02-2020,1581410966,10.0.1.5,42526,131.236.3.92,53,udp,dns,0.000065,74,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,130,0,0,TRUE,204,2,30769.23077,3138461.538,1,0,1,0,9.56,7.784443461,1.783,1.72972281,1.927,0.905108281,0.405,0.363435001,86.324,9.41174819,13.5,9.340770846,8.5,8.440971508,5,3.346640106,0.776,0.018,912168.4,2745.484992,0.999,0.447223658,1430.492,337.198177,0,0,0,0,0,0,0,0,Normal,Normal,Normal
25-02-2020,1582607282,192.168.2.10,50260,192.168.2.199,80,tcp,http,0.05204,-,-,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,7.217,7.354255979,2.047,1.385908006,3.942,2.266595685,0.379,0.735669083,86.412,9.893124683,25.8,37.57339484,20.7,38.45269821,5.1,2.62488095,0.371,0.019209373,914168,2391.797316,9.599,4.388303659,1497.036,284.2897038,0,0,1,1,1,1,0,1,Exfiltration,Exfiltration,Attack
11-02-2020,1581406516,192.168.2.196,53780,192.168.2.10,1880,tcp,websocket,24.903151,475,244,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,6,795,5,512,FALSE,2026,11,0.441711171,81.35516666,0.545454545,0.454545455,0.626850938,0.373149062,7.118,10.65481375,1.997,1.829027337,1.821,1.367921416,0.075,0.114564392,88.986,12.91860379,4,1.897366596,0,0,4,1.897366596,0.605,0.032015621,905829.2,3574.013341,1,1.183215957,1125.1,287.0607775,0,0,0,0,0,0,1,0,Normal,Normal,Normal
24-02-2020,1582504255,172.24.1.233,40577,172.24.1.1,5683,udp,coap,112.669888,2810,72,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,2950,1,100,FALSE,5932,6,0.053252915,52.64938224,0.833333333,0.166666667,0.97100472,0.02899528,29.535,7.655640078,2.632,1.771167976,10.924,2.949475208,8.313,14.1838916,48.595,13.24349595,29.8,17.06341115,8.2,7.291090453,21.6,15.1142317,1.32,0.247386338,919760.4,2446.609049,0,0,16096.5,1825.064013,0,0,0,0,0,0,1,0,RDOS,RDOS,Attack
16-12-2019,1576632171,127.0.0.1,43807,127.0.0.1,53,udp,dns,0.00019,156,156,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,268,4,268,FALSE,848,8,42105.26316,4463157.895,0.5,0.5,0.5,0.5,1.119,0.511242604,1.786,1.176691973,2.108,0.990644235,4.91,9.442519791,90.076,9.635837483,14.2,7.896834809,6,7.456540753,8.2,6.095900262,1.184,0.529305205,915459.2,1952.024426,0.7,0.458257569,1330.3,143.9069491,0,0,0,0,0,0,0,0,Normal,Normal,Normal
24-02-2020,1582504466,172.24.1.233,45824,172.24.1.1,5683,udp,coap,5.681416,1124,72,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,1180,1,100,FALSE,2476,3,0.528037377,435.8068482,0.666666667,0.333333333,0.930533118,0.069466882,27.207,8.927916946,2.78,2.164998845,8.683,3.693830126,7.247,12.98114097,54.085,13.81073369,10.3,12.95414991,0.4,0.663324958,9.9,13.08778056,2.33,0.07,919836.8,1820.928818,0.1,0.3,13341.4,2072.111783,0,0,0,0,0,0,1,0,RDOS,RDOS,Attack
15-02-2020,1581733425,192.168.10.153,52040,192.168.2.10,80,tcp,http,4.596989,-,-,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-,-,-,-,FALSE,-,-,-,-,-,-,-,-,6.582,4.369528121,2.483,1.306453597,1.873,1.107818126,0.251,0.356383221,88.811,6.266542029,6.2,7.4,0,0,6.2,7.4,0.399,0.024269322,915184.4,1947.907554,0.7,0.9,1197.2,172.5971031,0,0,0,0,0,0,1,0,Normal,Normal,Normal
24-02-2020,1582504302,172.24.1.233,35291,172.24.1.1,5683,udp,coap,36.545431,1686,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,1770,0,0,FALSE,3456,3,0.082089605,94.56722511,1,0,1,0,31.193,7.579807451,2.459,1.370083574,11.355,3.094344034,0.026,0.078,54.971,10.50312663,3.9,2.7,0,0,3.9,2.7,1.956,0.044090815,920439.6,1777.249515,0,0,16553.7,940.536129,0,0,0,0,0,0,1,0,RDOS,RDOS,Attack
16-12-2019,1576459238,192.168.10.153,51048,192.168.2.10,80,tcp,http,2.256539,-,-,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-,-,-,-,FALSE,-,-,-,-,-,-,-,-,4.688,6.229246824,2.932,1.059582937,2.728,2.094568213,0.176,0.115256236,89.478,8.782308125,3.2,0.4,0.1,0.3,3.1,0.3,1.032,0.443864844,912885.6,781.4738895,0.7,0.640312424,1719.8,618.2528285,0,0,0,0,0,0,1,0,Normal,Normal,Normal
07-01-2020,1578373225,192.168.2.199,53557,192.168.2.10,100,tcp,other,0.000024,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,44,1,40,FALSE,84,2,83333.33333,3500000,0.5,0.5,0.523809524,0.476190476,3.927,5.071974073,0.583,0.303283696,1.367,0.612618152,1.012,0.662326204,93.116,5.464474723,27.4,19.30906523,16.5,19.95620204,10.9,3.88458492,0.407,0.023685439,915610.8,2174.249333,1,0.632455532,1249.5,275.3914487,0,0,0,0,0,0,0,0,Generic_scanning,Reconnaissance,Attack
20-01-2020,1579493838,127.0.0.1,40759,127.0.0.1,53,udp,dns,0.000638,156,156,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,268,4,268,FALSE,848,8,12539.18495,1329153.605,0.5,0.5,0.5,0.5,20.694,8.408601786,1.896,1.166569329,5.216,1.997809801,6.657,12.1181707,65.535,14.96320972,22.1,19.22732431,14.5,18.99078724,7.6,9.687104831,2.094,0.085111691,905352,3403.085659,1.2,1.077032961,2154.1,873.6919881,0,0,0,0,0,0,0,0,Normal,Normal,Normal
